"PolicyDefinitionName","DisplayName","Mode","PolicyType","Description","Metadata"
,"Enable Security Logging in Azure Data Share","Indexed","Custom","Diagnostic settings are used to configure streaming export of platform logs and metrics for a resource to the destination of your choice. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-09T20:46:58.5879019Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-20T18:57:59.9544367Z}"
,"Enable Security Logging in Azure Redis Cache","Indexed","Custom","Diagnostic settings are used to configure streaming export of platform logs and metrics for a resource to the destination of your choice. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-09T20:47:41.9136185Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-20T18:58:15.3982184Z}"
,"Enable Security Logging in Azure Service Bus","Indexed","Custom","Diagnostic settings are used to configure streaming export of platform logs and metrics for a resource to the destination of your choice. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-09T20:48:29.72829Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-20T18:58:34.9836366Z}"
,"Enable Security Logging in Azure Stream Analytics","Indexed","Custom","Diagnostic settings are used to configure streaming export of platform logs and metrics for a resource to the destination of your choice. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-09T20:49:21.4479786Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-20T18:58:56.6405125Z}"
,"Enable Security Logging in IoT Hubs","Indexed","Custom","Diagnostic settings are used to configure streaming export of platform logs and metrics for a resource to the destination of your choice. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-09T20:50:00.7348384Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-20T18:59:36.3180264Z}"
,"Protect Azure AI Search Instances by only allowing RBAC API Access","Indexed","Custom","Key access (local authentication) is recommended to be disabled for security. Microsoft Entra ID access method, allows maintaining minimum privilege principle and granular control. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-14T15:13:15.990176Z; updatedBy=6c97c2ad-503e-493a-8f41-7b4241e12cfe; updatedOn=2024-09-10T20:38:01.3248876Z}"
,"Azure Key Vault should have firewall enabled","Indexed","Custom","Enable the key vault firewall so that the key vault is not accessible by default to any public IPs. Optionally, you can configure specific IP ranges to limit access to those networks. Learn more at: https://docs.microsoft.com/azure/key-vault/general/network-security","@{createdBy=570e558a-9885-4ac8-bd02-11553e45533b; createdOn=2024-05-17T21:05:08.9983226Z; updatedBy=570e558a-9885-4ac8-bd02-11553e45533b; updatedOn=2024-05-17T21:06:17.3833008Z; category=Key Vault}"
,"Enable Security Logging in Function Apps","Indexed","Custom","Diagnostic settings are used to configure streaming export of platform logs and metrics for a resource to the destination of your choice. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2024-05-14T15:11:37.2078181Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-20T18:59:16.812705Z}"
,"ENABLE MDE Integration Setting in Microsoft Defender for Cloud","All","Custom",,"@{category=Security Center; createdBy=84f59a1c-22bf-4971-813e-d4a4926938b7; createdOn=2022-11-01T21:13:33.632843Z}"
,"Windows AntiVirus health check","Indexed","Custom",,"@{version=1.0.0; requiredProviders=System.Object[]; guestConfiguration=; category=Guest Configuration; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:23:32.9550376Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:06:19.6446423Z}"
,"Ensure API Management Service is accessible only over HTTPS","All","Custom","Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:18:32.3790288Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:11:42.3033028Z}"
,"Do not use Management REST API in APIM","All","Custom","The credentials used to access API Management REST API provide admin-level access without support for role-based access control and without recording audit logs.","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-08-11T21:59:22.3575857Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:11:22.3314346Z}"
,"The ClusterProtectionLevel property must be set to EncryptAndSign for Service Fabric clusters","Indexed","Custom","Service Fabric provides three levels of protection (None, Sign and EncryptAndSign) for node-to-node communication using a primary cluster certificate. Set the protection level to ensure that all node-to-node messages are encrypted and digitally signed","@{version=1.1.0; category=Service Fabric; createdBy=b3d441fb-e998-494d-a72b-9c24eabd0cde; createdOn=2022-08-09T23:30:53.762068Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:14:43.4035981Z}"
,"Remove classic resources on a subscription","All","Custom","Classic resources lack Role Based Access Control (RBAC) and other security features that are available in Azure Resource Manager (ARM) model.","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:24:35.8955401Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-08-14T23:11:01.7674667Z}"
,"EnD Pre-req policy for Env tags on RGs","All","Custom",,"@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-05-17T00:28:05.0982011Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2022-05-17T20:04:17.5647351Z}"
,"Set 'EnableIPForwarding' flag to false for NICs in the ExpressRoute-connected vNet","All","Custom","IP Forwarding can change the routing of packets from an ER-connected virtual network and can lead to bypass of network protections.","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-05-20T18:12:35.6870109Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:21:08.3278848Z}"
,"Add only MicrosoftNetwork/* resources to the ERNetwork resource group","All","Custom","Resource groups containing ExpressRoute should not be used as a general purpose resource group or as a container for non-network related resources.","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-05-20T18:54:14.1299412Z; updatedBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; updatedOn=2024-02-23T22:17:07.7449354Z}"
,"Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity","Indexed","Custom","Guest Configuration extension is a prerequisite required on all virtual machines to allow for execution of Guest Config (In-Guest) policy while monitoring systems, security and compliance for virtual machines.","@{category=Guest Configuration; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:20:56.5760703Z; updatedBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; updatedOn=2024-07-24T20:27:51.7689654Z}"
,"Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities","Indexed","Custom","Guest Configuration extension is a prerequisite required on all virtual machines to allow for execution of Guest Config (In-Guest) policy while monitoring systems, security and compliance for virtual machines.","@{category=Guest Configuration; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:20:53.0131478Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-08-21T20:30:28.3643131Z}"
,"Deploy the Linux Guest Configuration extension to enable Guest Configuration assignments on Linux VMs","Indexed","Custom","Guest Configuration extension is a prerequisite required on all virtual machines to allow for execution of Guest Config (In-Guest) policy while monitoring systems, security and compliance for virtual machines.","@{category=Guest Configuration; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:20:49.7944974Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-08-21T20:28:29.0353339Z}"
,"Deploy the Windows Guest Configuration extension to enable Guest Configuration assignments on Windows VMs","Indexed","Custom","Guest Configuration extension is a prerequisite required on all virtual machines to allow for execution of Guest Config (In-Guest) policy while monitoring systems, security and compliance for virtual machines.","@{category=Guest Configuration; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:20:45.6677026Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-08-21T20:27:21.9924557Z}"
,"Use HTTPS for App Services","All","Custom","The application must encrypt sensitive data in transit to protect against unauthorized access. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{version=1.0.1; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:28:31.657475Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:24:00.9264903Z}"
,"Use HTTPS for App Services slots","All","Custom","The application must encrypt sensitive data in transit to protect against unauthorized access. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{version=1.0.1; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:28:35.0415666Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:24:17.5859752Z}"
,"Use Approved TLS Version in App Services","Indexed","Custom",,"@{createdBy=b3d441fb-e998-494d-a72b-9c24eabd0cde; createdOn=2022-04-27T17:18:09.5463518Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:28:55.7043042Z}"
,"Turn on Microsoft Monitoring Agent (MMA) to enable Security Monitoring","All","Custom","Log Analytics agent for Azure VMs must be turned on to deploy MMA (Windows) and OMS (Linux) agents.","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:25:52.910944Z}"
,"Associate Subnets with a Network Security Group (subnets)","All","Custom","Without any network traffic filtering, unauthorized traffic can be used to compromise services or underlying infrastructure. Traffic to the subnets must be filtered with a Network Security Group (NSG).","@{category=Network; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T20:40:15.8725736Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:36:18.7778967Z}"
,"EnD Pre-req policy for Rings","All","Custom",,"@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-05-17T00:26:41.1552318Z}"
,"Enable Advanced Threat Protection on SQL servers","Indexed","Custom","Azure SQL servers must be protected against common techniques used by attackers to compromise the server and database.","@{category=SQL; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T20:54:22.4268125Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:41:18.6685512Z}"
,"Configure SQL servers to have auditing enabled","Indexed","Custom","To ensure the operations performed against your SQL assets are captured, SQL servers should have auditing enabled. This is sometimes required for compliance with regulatory standards.","@{category=SQL; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T20:54:26.4540609Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:42:12.7026304Z}"
,"Configure Synapse workspaces to have auditing enabled","Indexed","Custom","To ensure the operations performed against your SQL assets are captured, Synapse workspaces should have auditing enabled. This is sometimes required for compliance with regulatory standards.","@{category=Synapse; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T20:54:33.4185756Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:42:31.3765274Z}"
,"Enable Advanced Threat Protection on your Synapse workspaces","Indexed","Custom","Azure SQL servers must be protected against common techniques used by attackers to compromise the server and database.","@{category=Synapse; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T20:54:36.9672114Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:40:58.9662771Z}"
,"Enable secure transfer to storage accounts","All","Custom","HTTPS protocol must be used for accessing Storage Account resources.","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:09:30.7425067Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:43:32.4034974Z}"
,"Enable Transparent Data Encryption on SQL databases","Indexed","Custom","Transparent Data Encryption (TDE) helps protect against the threat of malicious offline activity by encrypting data at rest.","@{version=2.0.0; category=SQL; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:11:22.3178833Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:51:27.4742718Z}"
,"Enable Transparent Data Encryption on Synapse SQL pools","Indexed","Custom","Transparent Data Encryption (TDE) helps protect against the threat of malicious offline activity by encrypting data at rest.","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-04-20T23:36:49.9835529Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:51:44.5637086Z}"
,"Associate Subnets with a Network Security Group (VNet subnets)","All","Custom","Without any network traffic filtering, unauthorized traffic can be used to compromise services or underlying infrastructure. Traffic to the subnets must be filtered with a Network Security Group (NSG).","@{category=Network; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T20:40:21.396705Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:52:56.2178364Z}"
,"Infra - Compute - AuditDeprecatedComputeSkus","All","Custom","https://microsoftit.visualstudio.com/OneITVSO/_wiki/wikis/OneITVSO.wiki/10578/Compliance-and-Remediation","@{category=Naming; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T20:43:52.4280433Z}"
,"Infra - Compute - AuditDeprecatedWinOsVersions","All","Custom","https://microsoftit.visualstudio.com/OneITVSO/_wiki/wikis/OneITVSO.wiki/10578/Compliance-and-Remediation","@{category=Naming; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T20:43:56.8547943Z}"
,"Infra - ExpressRoute - AllowedPeeringLocation","All","Custom","https://microsoftit.visualstudio.com/OneITVSO/_wiki/wikis/OneITVSO.wiki/10578/Compliance-and-Remediation","@{category=Naming; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T20:43:59.4494174Z}"
,"Linux Auditd Config Audit","All","Custom",,"@{version=1.0.0; requiredProviders=System.Object[]; guestConfiguration=; category=Guest Configuration; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:23:18.1375Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:56:23.0773694Z}"
,"Linux MDATP Audit","All","Custom",,"@{version=1.0.0; requiredProviders=System.Object[]; guestConfiguration=; category=Guest Configuration; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:23:22.1011198Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:56:41.2317172Z}"
,"LinuxNoPasswordsAudit","All","Custom",,"@{version=1.0.0; requiredProviders=System.Object[]; guestConfiguration=; category=Guest Configuration; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:23:26.1661672Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:57:00.1479067Z}"
,"LinuxTlsVersionAudit","All","Custom",,"@{version=1.0.0; requiredProviders=System.Object[]; guestConfiguration=; category=Guest Configuration; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:23:29.3753597Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:57:28.0411327Z}"
,"Windows MDE health check","Indexed","Custom",,"@{version=1.0.0; requiredProviders=System.Object[]; guestConfiguration=; category=Guest Configuration; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:23:40.792609Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:57:43.8249756Z}"
,"Windows_Tls","Indexed","Custom",,"@{category=Guest Configuration; version=1.0.0-preview; preview=True; requiredProviders=System.Object[]; guestConfiguration=; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-03-29T21:23:36.6742196Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:58:33.8537455Z}"
,"Protect Internet First Applications with Azure AppGateway and WAF","Indexed","Custom","Azure Web Application Firewall (WAF) on Azure Application Gateway provides centralized protection of your web applications from common exploits and vulnerabilities. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2023-03-16T20:10:25.9665114Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-09-10T18:35:51.2420753Z}"
,"ENABLE MDE for Linux in Microsoft Defender for Cloud","All","Custom",,"@{category=Security Center; createdBy=84f59a1c-22bf-4971-813e-d4a4926938b7; createdOn=2022-11-01T21:12:25.1412021Z}"
,"ENABLE MDE Unified Solution in Microsoft Defender for Cloud","All","Custom",,"@{category=Security Center; createdBy=84f59a1c-22bf-4971-813e-d4a4926938b7; createdOn=2022-11-01T21:14:53.6368693Z}"
